x,y,z,t_mean_c,t_std_c,n_obs,material,solar_absorptance,u_value_w_m2k,plausible,flag_reason,solar_term_w_m2,u_value_corrected_w_m2k,correction_note
10.9,-0.7000000000000001,-0.30000000000000004,35.253,0.406,103,concrete,0.65,6.0904,1,,57.4,-2.2282,nord_diffuse_only
10.9,-0.7000000000000001,-0.1,35.035,0.379,149,concrete,0.65,5.8377,1,,57.4,-2.481,nord_diffuse_only
10.9,-0.7000000000000001,0.7000000000000001,35.978,0.547,66,glass,0.1,6.931,1,,8.83,5.6512,nord_diffuse_only
10.9,-0.7000000000000001,0.9,35.727,0.227,3,glass,0.1,6.64,1,,8.83,5.3602,nord_diffuse_only
10.9,-0.7000000000000001,1.1,35.697,0.229,16,paint,0.6,6.6052,1,,52.98,-1.0735,nord_diffuse_only
10.9,-0.7000000000000001,1.3,36.405,0.893,35,paint,0.6,7.4261,1,,52.98,-0.2527,nord_diffuse_only
10.9,-0.7000000000000001,1.5,36.648,1.386,10,paint,0.6,7.7078,1,,52.98,0.0291,nord_diffuse_only
10.9,-0.7000000000000001,1.7000000000000002,37.633,0.843,6,paint,0.6,8.8499,0,solar_possible,52.98,1.1711,nord_diffuse_only
10.9,-0.5,-0.30000000000000004,35.25,0.459,209,concrete,0.65,6.087,1,,0.0,6.087,
10.9,-0.5,-0.1,34.858,0.333,171,concrete,0.65,5.6325,1,,0.0,5.6325,
10.9,-0.5,0.1,34.78,0.61,155,glass,0.1,5.542,1,,0.0,5.542,
10.9,-0.5,0.30000000000000004,35.186,0.769,128,glass,0.1,6.0128,1,,0.0,6.0128,
10.9,-0.5,0.5,35.656,0.808,124,glass,0.1,6.5577,1,,0.0,6.5577,
10.9,-0.5,0.7000000000000001,35.998,0.609,54,glass,0.1,6.9542,1,,0.0,6.9542,
10.9,-0.5,0.9,35.847,0.47,70,glass,0.1,6.7791,1,,0.0,6.7791,
10.9,-0.5,1.1,36.151,0.648,2,paint,0.6,7.1316,1,,0.0,7.1316,
10.9,-0.5,1.7000000000000002,38.136,0.0,1,paint,0.6,9.433,0,solar_possible,0.0,9.433,
10.9,-0.30000000000000004,-0.30000000000000004,35.232,0.712,184,concrete,0.65,6.0661,1,,0.0,6.0661,
10.9,-0.1,-0.30000000000000004,36.03,0.941,187,concrete,0.65,6.9913,1,,0.0,6.9913,
10.9,0.1,-0.30000000000000004,36.382,0.975,200,concrete,0.65,7.3994,1,,0.0,7.3994,
10.9,0.30000000000000004,-0.30000000000000004,36.619,0.911,171,concrete,0.65,7.6742,1,,0.0,7.6742,
10.9,0.5,-0.30000000000000004,36.64,0.884,175,concrete,0.65,7.6986,1,,0.0,7.6986,
10.9,0.7000000000000001,-0.30000000000000004,36.233,0.815,163,concrete,0.65,7.2267,1,,0.0,7.2267,
10.9,0.9,-0.30000000000000004,35.171,0.725,141,concrete,0.65,5.9954,1,,0.0,5.9954,
10.9,1.1,-0.30000000000000004,34.965,0.48,183,concrete,0.65,5.7565,1,,0.0,5.7565,
10.9,1.3,-0.30000000000000004,34.857,0.406,140,concrete,0.65,5.6313,1,,0.0,5.6313,
10.9,1.5,-0.30000000000000004,34.853,0.262,149,concrete,0.65,5.6267,1,,110.28,-10.3554,sud_direct_diffuse
10.9,1.5,-0.1,34.593,0.303,199,concrete,0.65,5.3252,1,,110.28,-10.6569,sud_direct_diffuse
10.9,1.5,0.1,34.49,0.374,276,paint,0.6,5.2058,1,,101.79,-9.5469,sud_direct_diffuse
10.9,1.5,0.30000000000000004,34.739,0.405,239,paint,0.6,5.4945,1,,101.79,-9.2582,sud_direct_diffuse
10.9,1.5,0.5,35.322,0.495,218,paint,0.6,6.1704,1,,101.79,-8.5823,sud_direct_diffuse
10.9,1.5,0.7000000000000001,35.488,0.472,42,paint,0.6,6.3629,1,,101.79,-8.3898,sud_direct_diffuse
10.9,1.7000000000000002,-0.30000000000000004,34.874,0.264,219,concrete,0.65,5.651,1,,110.28,-10.3311,sud_direct_diffuse
10.9,1.7000000000000002,-0.1,34.766,0.381,378,concrete,0.65,5.5258,1,,110.28,-10.4563,sud_direct_diffuse
10.9,1.7000000000000002,0.7000000000000001,35.839,0.535,145,paint,0.6,6.7699,1,,101.79,-7.9829,sud_direct_diffuse
10.9,1.7000000000000002,0.9,36.028,0.541,114,paint,0.6,6.989,1,,101.79,-7.7637,sud_direct_diffuse
10.9,1.7000000000000002,1.1,35.986,0.379,36,paint,0.6,6.9403,1,,101.79,-7.8124,sud_direct_diffuse
10.9,1.7000000000000002,1.3,36.722,0.747,41,paint,0.6,7.7936,1,,101.79,-6.9591,sud_direct_diffuse
10.9,1.7000000000000002,1.5,37.396,0.95,56,paint,0.6,8.5751,0,solar_possible,101.79,-6.1776,sud_direct_diffuse
10.9,1.7000000000000002,1.7000000000000002,37.715,0.849,25,paint,0.6,8.9449,0,solar_possible,101.79,-5.8078,sud_direct_diffuse
11.100000000000001,-0.7000000000000001,-0.30000000000000004,35.24,0.467,111,concrete,0.65,6.0754,1,,57.4,-2.2433,nord_diffuse_only
11.100000000000001,-0.7000000000000001,-0.1,35.151,0.354,125,concrete,0.65,5.9722,1,,57.4,-2.3465,nord_diffuse_only
11.100000000000001,-0.7000000000000001,0.7000000000000001,35.668,0.635,61,glass,0.1,6.5716,1,,8.83,5.2918,nord_diffuse_only
11.100000000000001,-0.7000000000000001,0.9,35.6,0.145,2,glass,0.1,6.4928,1,,8.83,5.213,nord_diffuse_only
11.100000000000001,-0.7000000000000001,1.1,35.928,0.0,1,paint,0.6,6.873,1,,52.98,-0.8057,nord_diffuse_only
11.100000000000001,-0.7000000000000001,1.3,36.697,0.921,4,paint,0.6,7.7646,1,,52.98,0.0859,nord_diffuse_only
11.100000000000001,-0.7000000000000001,1.7000000000000002,36.468,1.563,3,paint,0.6,7.4991,1,,52.98,-0.1796,nord_diffuse_only
11.100000000000001,-0.5,-0.30000000000000004,35.245,0.456,196,concrete,0.65,6.0812,1,,0.0,6.0812,
11.100000000000001,-0.5,-0.1,34.744,0.478,211,concrete,0.65,5.5003,1,,0.0,5.5003,
11.100000000000001,-0.5,0.1,34.692,0.601,144,glass,0.1,5.44,1,,0.0,5.44,
11.100000000000001,-0.5,0.30000000000000004,34.927,0.798,126,glass,0.1,5.7125,1,,0.0,5.7125,
11.100000000000001,-0.5,0.5,35.579,0.805,121,glass,0.1,6.4684,1,,0.0,6.4684,
11.100000000000001,-0.5,0.7000000000000001,35.938,0.631,58,glass,0.1,6.8846,1,,0.0,6.8846,
11.100000000000001,-0.5,0.9,35.863,0.499,69,glass,0.1,6.7977,1,,0.0,6.7977,
11.100000000000001,-0.5,1.7000000000000002,34.497,0.0,1,paint,0.6,5.2139,1,,0.0,5.2139,
11.100000000000001,-0.30000000000000004,-0.30000000000000004,35.452,0.662,184,concrete,0.65,6.3212,1,,0.0,6.3212,
11.100000000000001,-0.1,-0.30000000000000004,35.884,0.812,156,concrete,0.65,6.822,1,,0.0,6.822,
11.100000000000001,0.1,-0.30000000000000004,36.181,0.876,162,concrete,0.65,7.1664,1,,0.0,7.1664,
11.100000000000001,0.30000000000000004,-0.30000000000000004,36.237,0.82,184,concrete,0.65,7.2313,1,,0.0,7.2313,
11.100000000000001,0.5,-0.30000000000000004,36.267,0.818,195,concrete,0.65,7.2661,1,,0.0,7.2661,
11.100000000000001,0.7000000000000001,-0.30000000000000004,35.824,0.817,208,concrete,0.65,6.7525,1,,0.0,6.7525,
11.100000000000001,0.9,-0.30000000000000004,35.223,0.638,174,concrete,0.65,6.0557,1,,0.0,6.0557,
11.100000000000001,1.1,-0.30000000000000004,34.725,0.501,139,concrete,0.65,5.4783,1,,0.0,5.4783,
11.100000000000001,1.3,-0.30000000000000004,34.793,0.452,186,concrete,0.65,5.5571,1,,0.0,5.5571,
11.100000000000001,1.5,-0.30000000000000004,34.833,0.244,182,concrete,0.65,5.6035,1,,110.28,-10.3786,sud_direct_diffuse
11.100000000000001,1.5,-0.1,34.592,0.315,68,concrete,0.65,5.3241,1,,110.28,-10.658,sud_direct_diffuse
11.100000000000001,1.5,0.1,34.507,0.414,86,paint,0.6,5.2255,1,,101.79,-9.5272,sud_direct_diffuse
11.100000000000001,1.5,0.30000000000000004,34.687,0.553,93,paint,0.6,5.4342,1,,101.79,-9.3185,sud_direct_diffuse
11.100000000000001,1.5,0.5,35.215,0.527,147,paint,0.6,6.0464,1,,101.79,-8.7063,sud_direct_diffuse
11.100000000000001,1.5,0.7000000000000001,35.523,0.561,28,paint,0.6,6.4035,1,,101.79,-8.3492,sud_direct_diffuse
11.100000000000001,1.7000000000000002,-0.30000000000000004,34.87,0.254,407,concrete,0.65,5.6464,1,,110.28,-10.3357,sud_direct_diffuse
11.100000000000001,1.7000000000000002,-0.1,34.7,0.318,558,concrete,0.65,5.4493,1,,110.28,-10.5328,sud_direct_diffuse
11.100000000000001,1.7000000000000002,0.7000000000000001,35.737,0.568,152,paint,0.6,6.6516,1,,101.79,-8.1011,sud_direct_diffuse
11.100000000000001,1.7000000000000002,0.9,35.858,0.422,125,paint,0.6,6.7919,1,,101.79,-7.9608,sud_direct_diffuse
11.100000000000001,1.7000000000000002,1.1,36.236,0.402,6,paint,0.6,7.2301,1,,101.79,-7.5226,sud_direct_diffuse
11.100000000000001,1.7000000000000002,1.3,36.931,0.792,14,paint,0.6,8.0359,0,solar_possible,101.79,-6.7168,sud_direct_diffuse
11.100000000000001,1.7000000000000002,1.5,36.677,1.007,5,paint,0.6,7.7414,1,,101.79,-7.0113,sud_direct_diffuse
11.100000000000001,1.7000000000000002,1.7000000000000002,37.475,1.135,28,paint,0.6,8.6667,0,solar_possible,101.79,-6.086,sud_direct_diffuse
11.3,-0.7000000000000001,-0.30000000000000004,35.058,0.461,80,rubber,0.9,5.8643,1,,79.48,-5.6538,nord_diffuse_only
11.3,-0.7000000000000001,-0.1,35.051,0.361,73,concrete,0.65,5.8562,1,,57.4,-2.4624,nord_diffuse_only
11.3,-0.7000000000000001,0.7000000000000001,35.633,0.619,65,glass,0.1,6.531,1,,8.83,5.2512,nord_diffuse_only
11.3,-0.7000000000000001,0.9,35.608,0.265,2,painted_metal,0.65,6.502,1,,57.4,-1.8166,nord_diffuse_only
11.3,-0.7000000000000001,1.1,35.775,0.419,7,glass,0.1,6.6957,1,,8.83,5.4159,nord_diffuse_only
11.3,-0.7000000000000001,1.3,36.272,0.738,4,paint,0.6,7.2719,1,,52.98,-0.4069,nord_diffuse_only
11.3,-0.7000000000000001,1.5,38.14,0.0,1,paint,0.6,9.4377,0,solar_possible,52.98,1.7589,nord_diffuse_only
11.3,-0.7000000000000001,1.7000000000000002,36.764,1.524,14,paint,0.6,7.8423,1,,52.98,0.1636,nord_diffuse_only
11.3,-0.5,-0.30000000000000004,35.152,0.473,474,concrete,0.65,5.9733,1,,0.0,5.9733,
11.3,-0.5,-0.1,34.988,0.423,402,concrete,0.65,5.7832,1,,0.0,5.7832,
11.3,-0.5,0.1,35.237,0.145,2,paint,0.6,6.0719,1,,0.0,6.0719,
11.3,-0.5,0.30000000000000004,36.046,0.0,1,glass,0.1,7.0099,1,,0.0,7.0099,
11.3,-0.5,0.5,36.43,0.042,2,glass,0.1,7.4551,1,,0.0,7.4551,
11.3,-0.5,0.7000000000000001,35.841,0.678,115,glass,0.1,6.7722,1,,0.0,6.7722,
11.3,-0.5,0.9,35.948,0.55,61,glass,0.1,6.8962,1,,0.0,6.8962,
11.3,-0.5,1.7000000000000002,36.455,1.612,9,paint,0.6,7.4841,1,,0.0,7.4841,
11.3,-0.30000000000000004,-0.30000000000000004,35.207,0.678,141,concrete,0.65,6.0371,1,,0.0,6.0371,
11.3,-0.1,-0.30000000000000004,35.807,0.818,147,concrete,0.65,6.7328,1,,0.0,6.7328,
11.3,0.1,-0.30000000000000004,36.247,0.898,173,concrete,0.65,7.2429,1,,0.0,7.2429,
11.3,0.30000000000000004,-0.30000000000000004,36.395,0.853,176,concrete,0.65,7.4145,1,,0.0,7.4145,
11.3,0.5,-0.30000000000000004,36.497,0.855,176,concrete,0.65,7.5328,1,,0.0,7.5328,
11.3,0.7000000000000001,-0.30000000000000004,36.243,0.921,164,concrete,0.65,7.2383,1,,0.0,7.2383,
11.3,0.9,-0.30000000000000004,35.253,0.688,220,concrete,0.65,6.0904,1,,0.0,6.0904,
11.3,1.1,-0.30000000000000004,34.917,0.561,242,concrete,0.65,5.7009,1,,0.0,5.7009,
11.3,1.3,-0.30000000000000004,34.785,0.54,237,concrete,0.65,5.5478,1,,0.0,5.5478,
11.3,1.5,-0.30000000000000004,34.739,0.339,217,concrete,0.65,5.4945,1,,110.28,-10.4876,sud_direct_diffuse
11.3,1.5,-0.1,34.732,0.047,2,rubber,0.9,5.4864,1,,152.69,-16.6427,sud_direct_diffuse
11.3,1.5,0.30000000000000004,34.847,0.027,2,paint,0.6,5.6197,1,,101.79,-9.133,sud_direct_diffuse
11.3,1.5,0.5,35.012,0.105,3,paint,0.6,5.811,1,,101.79,-8.9417,sud_direct_diffuse
11.3,1.5,0.7000000000000001,35.509,0.237,4,glass,0.1,6.3872,1,,16.97,3.9285,sud_direct_diffuse
11.3,1.7000000000000002,-0.30000000000000004,34.835,0.263,249,concrete,0.65,5.6058,1,,110.28,-10.3763,sud_direct_diffuse
11.3,1.7000000000000002,-0.1,34.712,0.294,543,concrete,0.65,5.4632,1,,110.28,-10.5189,sud_direct_diffuse
11.3,1.7000000000000002,0.1,34.362,0.13,5,paint,0.6,5.0574,1,,101.79,-9.6953,sud_direct_diffuse
11.3,1.7000000000000002,0.30000000000000004,34.746,0.242,4,paint,0.6,5.5026,1,,101.79,-9.2501,sud_direct_diffuse
11.3,1.7000000000000002,0.5,35.644,0.32,5,fabric,0.6,6.5438,1,,101.79,-8.2089,sud_direct_diffuse
11.3,1.7000000000000002,0.7000000000000001,35.667,0.505,218,paint,0.6,6.5704,1,,101.79,-8.1823,sud_direct_diffuse
11.3,1.7000000000000002,0.9,35.856,0.377,122,paint,0.6,6.7896,1,,101.79,-7.9631,sud_direct_diffuse
11.3,1.7000000000000002,1.1,36.172,0.459,23,paint,0.6,7.1559,1,,101.79,-7.5968,sud_direct_diffuse
11.3,1.7000000000000002,1.3,36.557,0.894,7,paint,0.6,7.6023,1,,101.79,-7.1504,sud_direct_diffuse
11.3,1.7000000000000002,1.5,36.922,1.051,22,paint,0.6,8.0255,0,solar_possible,101.79,-6.7272,sud_direct_diffuse
11.3,1.7000000000000002,1.7000000000000002,37.663,0.902,32,paint,0.6,8.8846,0,solar_possible,101.79,-5.8681,sud_direct_diffuse
11.3,1.7000000000000002,1.9000000000000001,38.239,0.276,3,paint,0.6,9.5525,0,solar_possible,101.79,-5.2002,sud_direct_diffuse
11.5,-0.9,1.3,36.104,0.604,56,paint,0.6,7.0771,1,,52.98,-0.6017,nord_diffuse_only
11.5,-0.9,1.5,36.621,0.754,26,glass,0.1,7.6765,1,,8.83,6.3967,nord_diffuse_only
11.5,-0.9,1.7000000000000002,37.064,0.952,25,glass,0.1,8.1901,0,solar_suspected,8.83,6.9104,nord_diffuse_only
11.5,-0.7000000000000001,0.9,35.978,0.107,10,glass,0.1,6.931,1,,8.83,5.6512,nord_diffuse_only
11.5,-0.7000000000000001,1.1,35.963,0.449,128,glass,0.1,6.9136,1,,8.83,5.6338,nord_diffuse_only
11.5,-0.7000000000000001,1.3,36.34,0.752,144,paint,0.6,7.3507,1,,52.98,-0.328,nord_diffuse_only
11.5,-0.7000000000000001,1.5,36.7,1.202,120,paint,0.6,7.7681,1,,52.98,0.0894,nord_diffuse_only
11.5,-0.7000000000000001,1.7000000000000002,36.901,1.342,60,paint,0.6,8.0012,0,solar_possible,52.98,0.3224,nord_diffuse_only
11.5,-0.5,-0.30000000000000004,35.194,0.49,264,concrete,0.65,6.022,1,,0.0,6.022,
11.5,-0.5,-0.1,34.972,0.401,195,concrete,0.65,5.7646,1,,0.0,5.7646,
11.5,-0.5,0.1,34.744,0.0,1,glass,0.1,5.5003,1,,0.0,5.5003,
11.5,-0.5,0.30000000000000004,35.919,0.186,4,paint,0.6,6.8626,1,,0.0,6.8626,
11.5,-0.5,0.5,35.875,0.241,2,paint,0.6,6.8116,1,,0.0,6.8116,
11.5,-0.5,0.7000000000000001,35.975,0.638,62,glass,0.1,6.9275,1,,0.0,6.9275,
11.5,-0.5,0.9,35.886,0.552,111,glass,0.1,6.8243,1,,0.0,6.8243,
11.5,-0.5,1.1,36.022,0.473,118,glass,0.1,6.982,1,,0.0,6.982,
11.5,-0.5,1.3,36.209,0.838,87,paint,0.6,7.1988,1,,0.0,7.1988,
11.5,-0.5,1.5,36.546,1.042,103,paint,0.6,7.5896,1,,0.0,7.5896,
11.5,-0.5,1.7000000000000002,36.233,1.235,43,paint,0.6,7.2267,1,,0.0,7.2267,
11.5,-0.30000000000000004,-0.30000000000000004,35.243,0.683,190,concrete,0.65,6.0788,1,,0.0,6.0788,
11.5,-0.1,-0.30000000000000004,35.88,0.923,168,concrete,0.65,6.8174,1,,0.0,6.8174,
11.5,0.1,-0.30000000000000004,36.05,1.144,158,concrete,0.65,7.0145,1,,0.0,7.0145,
11.5,0.30000000000000004,-0.30000000000000004,36.459,0.838,169,concrete,0.65,7.4887,1,,0.0,7.4887,
11.5,0.5,-0.30000000000000004,36.601,0.796,193,concrete,0.65,7.6533,1,,0.0,7.6533,
11.5,0.7000000000000001,-0.30000000000000004,36.32,0.84,174,concrete,0.65,7.3275,1,,0.0,7.3275,
11.5,0.9,-0.30000000000000004,35.55,0.867,167,concrete,0.65,6.4348,1,,0.0,6.4348,
11.5,1.1,-0.30000000000000004,34.898,0.592,147,concrete,0.65,5.6788,1,,0.0,5.6788,
11.5,1.3,-0.30000000000000004,34.909,0.454,186,concrete,0.65,5.6916,1,,0.0,5.6916,
11.5,1.5,-0.30000000000000004,34.819,0.316,143,concrete,0.65,5.5872,1,,110.28,-10.3949,sud_direct_diffuse
11.5,1.7000000000000002,-0.30000000000000004,34.783,0.247,175,concrete,0.65,5.5455,1,,110.28,-10.4366,sud_direct_diffuse
11.5,1.7000000000000002,-0.1,34.53,0.259,472,concrete,0.65,5.2522,1,,110.28,-10.7299,sud_direct_diffuse
11.5,1.7000000000000002,0.1,34.322,0.208,113,paint,0.6,5.011,1,,101.79,-9.7417,sud_direct_diffuse
11.5,1.7000000000000002,0.30000000000000004,34.732,0.277,75,paint,0.6,5.4864,1,,101.79,-9.2663,sud_direct_diffuse
11.5,1.7000000000000002,0.5,35.365,0.398,75,paint,0.6,6.2203,1,,101.79,-8.5324,sud_direct_diffuse
11.5,1.7000000000000002,0.7000000000000001,35.698,0.427,142,paint,0.6,6.6064,1,,101.79,-8.1463,sud_direct_diffuse
11.5,1.7000000000000002,0.9,35.802,0.412,180,paint,0.6,6.727,1,,101.79,-8.0258,sud_direct_diffuse
11.5,1.7000000000000002,1.1,36.094,0.441,358,paint,0.6,7.0655,1,,101.79,-7.6872,sud_direct_diffuse
11.5,1.7000000000000002,1.3,36.678,0.775,327,paint,0.6,7.7426,1,,101.79,-7.0101,sud_direct_diffuse
11.5,1.7000000000000002,1.5,37.141,1.058,312,paint,0.6,8.2794,0,solar_possible,101.79,-6.4733,sud_direct_diffuse
11.5,1.7000000000000002,1.7000000000000002,37.362,1.184,124,paint,0.6,8.5357,0,solar_possible,101.79,-6.2171,sud_direct_diffuse
11.5,1.7000000000000002,1.9000000000000001,36.972,1.224,6,paint,0.6,8.0835,0,solar_possible,101.79,-6.6692,sud_direct_diffuse
11.700000000000001,-0.9,1.3,35.975,0.324,2,painted_metal,0.65,6.9275,1,,57.4,-1.3911,nord_diffuse_only
11.700000000000001,-0.9,1.5,37.018,0.49,2,asphalt,0.9,8.1368,0,implausible,79.48,-3.3813,nord_diffuse_only
11.700000000000001,-0.5,-0.30000000000000004,35.037,0.433,275,concrete,0.65,5.84,1,,0.0,5.84,
11.700000000000001,-0.5,-0.1,34.933,0.349,240,concrete,0.65,5.7194,1,,0.0,5.7194,
11.700000000000001,-0.5,0.1,34.934,0.324,49,paint,0.6,5.7206,1,,0.0,5.7206,
11.700000000000001,-0.5,0.30000000000000004,35.69,0.362,33,paint,0.6,6.5971,1,,0.0,6.5971,
11.700000000000001,-0.5,0.5,36.1,0.343,29,paint,0.6,7.0725,1,,0.0,7.0725,
11.700000000000001,-0.5,0.7000000000000001,36.061,0.627,104,glass,0.1,7.0272,1,,0.0,7.0272,
11.700000000000001,-0.5,0.9,36.007,0.589,87,glass,0.1,6.9646,1,,0.0,6.9646,
11.700000000000001,-0.5,1.1,35.995,0.634,53,glass,0.1,6.9507,1,,0.0,6.9507,
11.700000000000001,-0.5,1.3,36.112,0.847,41,paint,0.6,7.0864,1,,0.0,7.0864,
11.700000000000001,-0.5,1.5,35.807,0.86,28,paint,0.6,6.7328,1,,0.0,6.7328,
11.700000000000001,-0.5,1.7000000000000002,35.484,0.983,39,paint,0.6,6.3583,1,,0.0,6.3583,
11.700000000000001,-0.5,1.9000000000000001,36.119,1.41,5,paint,0.6,7.0945,1,,0.0,7.0945,
11.700000000000001,-0.30000000000000004,-0.30000000000000004,35.37,0.667,203,concrete,0.65,6.2261,1,,0.0,6.2261,
11.700000000000001,-0.1,-0.30000000000000004,35.897,0.911,194,concrete,0.65,6.8371,1,,0.0,6.8371,
11.700000000000001,0.1,-0.30000000000000004,36.383,0.939,171,concrete,0.65,7.4006,1,,0.0,7.4006,
11.700000000000001,0.30000000000000004,-0.30000000000000004,36.646,0.843,160,concrete,0.65,7.7055,1,,0.0,7.7055,
11.700000000000001,0.5,-0.30000000000000004,36.678,0.797,147,concrete,0.65,7.7426,1,,0.0,7.7426,
11.700000000000001,0.7000000000000001,-0.30000000000000004,36.369,0.924,122,concrete,0.65,7.3843,1,,0.0,7.3843,
11.700000000000001,0.9,-0.30000000000000004,35.59,0.753,107,concrete,0.65,6.4812,1,,0.0,6.4812,
11.700000000000001,1.1,-0.30000000000000004,35.116,0.491,133,concrete,0.65,5.9316,1,,0.0,5.9316,
11.700000000000001,1.1,1.9000000000000001,34.898,0.068,2,paint,0.6,5.6788,1,,0.0,5.6788,
11.700000000000001,1.3,-0.30000000000000004,34.901,0.368,127,concrete,0.65,5.6823,1,,0.0,5.6823,
11.700000000000001,1.3,1.9000000000000001,34.98,0.087,4,paint,0.6,5.7739,1,,0.0,5.7739,
11.700000000000001,1.5,-0.30000000000000004,34.767,0.34,111,concrete,0.65,5.527,1,,110.28,-10.4551,sud_direct_diffuse
11.700000000000001,1.5,1.9000000000000001,34.956,0.22,11,paint,0.6,5.7461,1,,101.79,-9.0066,sud_direct_diffuse
11.700000000000001,1.7000000000000002,-0.30000000000000004,34.791,0.268,137,concrete,0.65,5.5548,1,,110.28,-10.4273,sud_direct_diffuse
11.700000000000001,1.7000000000000002,-0.1,34.513,0.262,509,concrete,0.65,5.2325,1,,110.28,-10.7496,sud_direct_diffuse
11.700000000000001,1.7000000000000002,0.1,34.346,0.225,184,paint,0.6,5.0388,1,,101.79,-9.7139,sud_direct_diffuse
11.700000000000001,1.7000000000000002,0.30000000000000004,34.729,0.274,151,paint,0.6,5.4829,1,,101.79,-9.2698,sud_direct_diffuse
11.700000000000001,1.7000000000000002,0.5,35.325,0.415,146,paint,0.6,6.1739,1,,101.79,-8.5788,sud_direct_diffuse
11.700000000000001,1.7000000000000002,0.7000000000000001,35.688,0.42,186,paint,0.6,6.5948,1,,101.79,-8.1579,sud_direct_diffuse
11.700000000000001,1.7000000000000002,0.9,35.817,0.433,144,paint,0.6,6.7443,1,,101.79,-8.0084,sud_direct_diffuse
11.700000000000001,1.7000000000000002,1.1,36.014,0.409,109,paint,0.6,6.9728,1,,101.79,-7.78,sud_direct_diffuse
11.700000000000001,1.7000000000000002,1.3,36.429,0.799,77,paint,0.6,7.4539,1,,101.79,-7.2988,sud_direct_diffuse
11.700000000000001,1.7000000000000002,1.5,36.924,1.049,61,paint,0.6,8.0278,0,solar_possible,101.79,-6.7249,sud_direct_diffuse
11.700000000000001,1.7000000000000002,1.7000000000000002,37.172,1.011,41,paint,0.6,8.3154,0,solar_possible,101.79,-6.4373,sud_direct_diffuse
11.700000000000001,1.7000000000000002,1.9000000000000001,36.66,1.048,22,paint,0.6,7.7217,1,,101.79,-7.031,sud_direct_diffuse
11.9,-0.5,-0.30000000000000004,35.156,0.505,166,concrete,0.65,5.978,1,,0.0,5.978,
11.9,-0.5,-0.1,34.975,0.317,176,concrete,0.65,5.7681,1,,0.0,5.7681,
11.9,-0.5,0.1,34.999,0.246,57,paint,0.6,5.7959,1,,0.0,5.7959,
11.9,-0.5,0.30000000000000004,35.615,0.436,44,paint,0.6,6.5101,1,,0.0,6.5101,
11.9,-0.5,0.5,35.974,0.482,39,paint,0.6,6.9264,1,,0.0,6.9264,
11.9,-0.5,0.7000000000000001,35.979,0.625,89,glass,0.1,6.9322,1,,0.0,6.9322,
11.9,-0.5,0.9,35.984,0.642,112,glass,0.1,6.938,1,,0.0,6.938,
11.9,-0.5,1.1,35.695,0.494,69,glass,0.1,6.6029,1,,0.0,6.6029,
11.9,-0.5,1.3,35.773,0.888,62,paint,0.6,6.6933,1,,0.0,6.6933,
11.9,-0.5,1.5,35.446,0.87,59,paint,0.6,6.3142,1,,0.0,6.3142,
11.9,-0.5,1.7000000000000002,35.495,0.983,20,paint,0.6,6.371,1,,0.0,6.371,
11.9,-0.5,1.9000000000000001,34.412,0.534,24,paint,0.6,5.1154,1,,0.0,5.1154,
11.9,-0.30000000000000004,-0.30000000000000004,35.275,0.664,124,concrete,0.65,6.1159,1,,0.0,6.1159,
11.9,-0.30000000000000004,1.9000000000000001,34.636,0.321,25,paint,0.6,5.3751,1,,0.0,5.3751,
11.9,-0.1,-0.30000000000000004,36.003,0.827,124,concrete,0.65,6.96,1,,0.0,6.96,
11.9,-0.1,1.9000000000000001,34.9,0.193,23,paint,0.6,5.6812,1,,0.0,5.6812,
11.9,0.1,-0.30000000000000004,36.325,0.895,112,concrete,0.65,7.3333,1,,0.0,7.3333,
11.9,0.1,1.9000000000000001,35.117,0.237,27,paint,0.6,5.9328,1,,0.0,5.9328,
11.9,0.30000000000000004,-0.30000000000000004,36.277,1.059,114,concrete,0.65,7.2777,1,,0.0,7.2777,
11.9,0.30000000000000004,1.9000000000000001,35.185,0.192,26,paint,0.6,6.0116,1,,0.0,6.0116,
11.9,0.5,-0.30000000000000004,36.486,0.881,129,concrete,0.65,7.52,1,,0.0,7.52,
11.9,0.5,1.9000000000000001,35.238,0.218,28,paint,0.6,6.073,1,,0.0,6.073,
11.9,0.7000000000000001,-0.30000000000000004,36.407,0.701,130,concrete,0.65,7.4284,1,,0.0,7.4284,
11.9,0.7000000000000001,1.9000000000000001,35.03,0.221,26,paint,0.6,5.8319,1,,0.0,5.8319,
11.9,0.9,-0.30000000000000004,35.672,0.739,129,concrete,0.65,6.5762,1,,0.0,6.5762,
11.9,0.9,1.9000000000000001,34.768,0.257,29,paint,0.6,5.5281,1,,0.0,5.5281,
11.9,1.1,-0.30000000000000004,35.178,0.478,108,concrete,0.65,6.0035,1,,0.0,6.0035,
11.9,1.1,1.9000000000000001,34.469,0.189,31,paint,0.6,5.1814,1,,0.0,5.1814,
11.9,1.3,-0.30000000000000004,35.035,0.438,78,concrete,0.65,5.8377,1,,0.0,5.8377,
11.9,1.3,1.9000000000000001,34.619,0.199,31,paint,0.6,5.3554,1,,0.0,5.3554,
11.9,1.5,-0.30000000000000004,34.754,0.414,68,concrete,0.65,5.5119,1,,110.28,-10.4702,sud_direct_diffuse
11.9,1.5,1.9000000000000001,34.768,0.18,30,paint,0.6,5.5281,1,,101.79,-9.2246,sud_direct_diffuse
